row_num	file_name	pvh_id	pvl_id	pvl_seq	pg_nbr	hdg_lvl	dup_pvl_id	line_text	indent
299	JAN09.txt	1	5653	5653	476	2		TC DIGITAL GAMES LLC	----TC DIGITAL GAMES LLC
300	JAN09.txt	1	5656	5656	477	2		THE UPPER DECK COMPANY	----THE UPPER DECK COMPANY
301	JAN09.txt	1	5660	5660	477	2		THREE CROWN GAME PRODUCTIONS	----THREE CROWN GAME PRODUCTIONS
302	JAN09.txt	1	5662	5662	477	2		TWILIGHT CREATIONS INC	----TWILIGHT CREATIONS INC
303	JAN09.txt	1	5666	5666	478	2		USAOPOLY	----USAOPOLY
304	JAN09.txt	1	5668	5668	478	2		VALLEY GAMES	----VALLEY GAMES
305	JAN09.txt	1	5672	5672	478	2		WHITE WOLF PUBLISHING	----WHITE WOLF PUBLISHING
306	JAN09.txt	1	5678	5678	479	2		WINNING MOVES	----WINNING MOVES
307	JAN09.txt	1	5682	5682	479	2		WIZARDS OF THE COAST	----WIZARDS OF THE COAST
308	JAN09.txt	1	5685	5685	479	2		DRAGONFIRE LASER CRAFTS	----DRAGONFIRE LASER CRAFTS
309	JAN09.txt	1	5687	5687	479		5682	WIZARDS OF THE COAST	
310	JAN09.txt	1	5699	5699	481	2		WIZKIDS LLC	----WIZKIDS LLC
311	JAN09.txt	1	5709	5709	483	1		DVDS & DIGITAL MEDIA	DVDS & DIGITAL MEDIA
312	JAN09.txt	1	5710	5710	483	2		ANIME	----ANIME
313	JAN09.txt	1	5734	5734	485	2		ANIMATION	----ANIMATION
314	JAN09.txt	1	5741	5741	486	2		ASIAN CINEMA	----ASIAN CINEMA
315	JAN09.txt	1	5745	5745	486	2		MOVIE/TV	----MOVIE/TV
316	JAN09.txt	1	5764	5764	487	2		ADULT ANIME	----ADULT ANIME
